"LATITUDE","LONGITUDE"
45.51527778,-113.2452778
46.98972222,-115.7363889
47.70777778,-115.8663889
47.79611111,-116.1697222
47.94694444,-113.4294444
47.84722222,-113.5891667
48.75,-114.8163889
46.38111111,-115.0688889
33.75611111,-107.4555556
31.5025,-109.0747222
31.42305556,-109.0547222
35.11055556,-112.1536111
44.45,-114.5688889
41.81527778,-123.7483333
41.76361111,-123.9622222
41.55583333,-123.7758333
40.95694444,-123.4533333
36.23527778,-118.5355556
46.1425,-121.3725
43.03888889,-122.2788889
42.10277778,-123.8727778
46.06861111,-117.7627778
45.00472222,-117.4197222
48.10694444,-115.8497222
48.17166667,-113.0563889
46.87277778,-114.8494444
34.91555556,-111.3930556
45.20861111,-116.2480556
40.3575,-123.4413889
40.89861111,-123.4613889
40.55444444,-123.5011111
40.49222222,-123.1983333
40.495,-123.1605556
40.46527778,-123.0538889
36.87361111,-118.9047222
44.00305556,-119.0058333
48.05138889,-120.1133333
48.05138889,-120.1133333
47.73361111,-116.1308333
47.73833333,-112.9563889
45.92611111,-115.7144444
46.42,-115.6094444
46.18222222,-115.7541667
46.09972222,-115.4458333
45.58111111,-115.3394444
45.60777778,-115.1741667
46.21333333,-114.7697222
46.4125,-115.55
45.49333333,-115.1763889
44.82138889,-115.9177778
38.59805556,-119.7522222
40.38611111,-123.4472222
40.60972222,-123.5594444
41.46861111,-123.7516667
34.15694444,-116.9008333
40.68,-123.4166667
42.36222222,-124.1072222
47.88055556,-120.2211111
48.22611111,-120.6638889
48.77888889,-118.2055556
48.63305556,-118.3369444
48.75638889,-118.4616667
63.17,-154.18
63.42,-153.67
61.08,-154.92
61.37,-160.38
63.95,-144.85
65.32883,-151.6895
66.0003,-153.9997
64.1,-153.7333
65.6211,-147.2636
65.5842,-152.1858
61.48,-155.77
64.6086,-158.1483
65.6342,-150.6386
65.8167,-158.7667
62.27,-158.72
64.9808,-154.2678
65.94,-151.3
65.805,-151.275
64.00233,-159.79233
65.33322,-144.45553
60.5,-150.63
65.9,-149.18
65.6755,-159.22
65.1967,-161.5825
63.6261,-150.9789
64.7219,-159.7386
64.035,-157.8378
65.13042,-152.96714
65.7167,-152.5833
63.7667,-152.9833
65.6167,-152.45
58.83,-157.53
62.45,-158.4
64.8675,-160.0161
65.1,-154.65
64.65,-151.7667
66.7858,-143.525
64.3667,-155.1
67.4186,-145.1256
62.2167,-160.9
60.78,-161.28
63.25,-154.08
61.8,-159.53
62.3908,-161.0253
63.8092,-152.0167
62.95,-141.87
64.03,-160.6967
63.25,-161.3333
63.3167,-161.5
63.3333,-161.55
64.25,-149.43
64.5533,-152.1067
65.0828,-155.4678
65.0833,-151.6
64.98,-151.6
61.85,-158.28
65.1089,-150.4958
64.7297,-158.1525
62.42,-164.43
64.293,-157.47933
65.8694,-154.6811
64.5808,-155.3369
64.9025,-157.0492
64.1719,-156.6764
64.261,-147.2375
65.3314,-152.4269
65.8667,-153.2667
59.25,-160.23
65.6833,-153.2833
65.2,-148.32
64.0367,-155.6483
63.8333,-152.3833
67.4739,-145.2708
65.2833,-151.8667
65.2833,-154.8
65.1,-155.0333
64.3331,-153.1308
63.7086,-153.6442
63.9,-153.95
64.12,-144.5
63.6,-152.8847
